epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5078,0.8203,2.56241,1.29992,0.00333,1,0.48533,0.27104,0.46596,3.17511,1.31307,0.0001,0.0001,0.0001
2,15.4538,0.44623,2.03388,1.06845,0.00333,1,0.995,0.83437,0.41838,2.85421,1.12681,0.00021274,0.00021274,0.00021274
3,20.2491,0.30752,0.96985,0.95877,1,0.98817,0.995,0.91522,0.38564,2.38463,1.05462,0.00031756,0.00031756,0.00031756
4,25.2704,0.32518,0.80018,0.95472,0.99634,1,0.995,0.91717,0.40504,2.01056,1.04164,0.00041446,0.00041446,0.00041446
5,30.4221,0.31625,0.73734,0.94508,0.99657,1,0.995,0.91464,0.3792,1.59096,1.04949,0.00050344,0.00050344,0.00050344
6,35.8687,0.33761,0.73111,0.94835,0.99482,1,0.995,0.94235,0.36323,1.58898,1.05247,0.0005845,0.0005845,0.0005845
7,41.4375,0.31756,0.65134,0.92068,1,0.99739,0.995,0.95048,0.31947,1.83677,0.97163,0.00065764,0.00065764,0.00065764
8,47.1156,0.29864,0.58693,0.92118,1,0.9958,0.995,0.9555,0.3615,2.01995,1.00613,0.00072286,0.00072286,0.00072286
9,52.8608,0.32246,0.63377,0.95383,0.99595,1,0.995,0.944,0.35878,1.72796,1.00755,0.00078016,0.00078016,0.00078016
10,59.2109,0.30355,0.56414,0.92402,1,0.99604,0.995,0.93722,0.35596,1.65759,0.99539,0.00082954,0.00082954,0.00082954
11,65.8033,0.31041,0.52721,0.93115,0.8879,0.75467,0.89142,0.66247,0.60492,2.28225,1.19639,0.000871,0.000871,0.000871
12,71.7435,0.29944,0.52113,0.92299,1,0.71513,0.96878,0.9164,0.36936,2.26314,1.00519,0.00090454,0.00090454,0.00090454
13,78.3697,0.29236,0.49402,0.92158,0.98143,1,0.995,0.96164,0.30301,1.66253,0.94976,0.00093016,0.00093016,0.00093016
14,84.5313,0.26665,0.4617,0.90538,0.99178,1,0.995,0.89903,0.41756,1.47379,1.01905,0.00094786,0.00094786,0.00094786
15,90.512,0.26663,0.45601,0.91789,0.99088,1,0.995,0.94657,0.28979,1.30252,0.93435,0.00095764,0.00095764,0.00095764
16,96.9564,0.27875,0.4651,0.91448,0.99371,1,0.995,0.92543,0.35805,1.19697,0.97747,0.0009595,0.0009595,0.0009595
17,102.79,0.29512,0.45056,0.92308,0.99428,1,0.995,0.96198,0.28035,0.94335,0.93413,0.000944,0.000944,0.000944
18,108.794,0.26547,0.44018,0.90789,0.99716,1,0.995,0.98962,0.2639,0.74473,0.91653,0.000878,0.000878,0.000878
19,115.981,0.2754,0.41885,0.9271,0.99986,1,0.995,0.99052,0.24094,0.7009,0.89661,0.000812,0.000812,0.000812
20,123.203,0.26352,0.41095,0.8964,0.99455,0.95238,0.98731,0.97883,0.24637,0.77807,0.91249,0.000746,0.000746,0.000746
21,129.779,0.24535,0.78841,0.88527,1,0.99616,0.995,0.95868,0.32908,0.91254,0.94085,0.00068,0.00068,0.00068
22,136.448,0.23654,0.65873,0.87284,0.99694,1,0.995,0.93748,0.2865,0.77551,0.93433,0.000614,0.000614,0.000614
23,142.908,0.24223,0.5899,0.88334,0.99749,1,0.995,0.97698,0.26875,0.59917,0.90527,0.000548,0.000548,0.000548
24,149.933,0.22564,0.56145,0.84994,0.99754,1,0.995,0.98379,0.22884,0.58901,0.88519,0.000482,0.000482,0.000482
25,155.892,0.21574,0.51871,0.8674,0.99755,1,0.995,0.9869,0.22104,0.54535,0.88516,0.000416,0.000416,0.000416
26,180.115,0.19947,0.51271,0.84877,0.99753,1,0.995,0.995,0.20524,0.53333,0.86735,0.00035,0.00035,0.00035
27,186.545,0.19731,0.49152,0.87687,0.99754,1,0.995,0.995,0.21743,0.49809,0.86662,0.000284,0.000284,0.000284
28,192.667,0.19446,0.46771,0.84712,0.99746,1,0.995,0.995,0.18085,0.50787,0.84333,0.000218,0.000218,0.000218
29,198.83,0.17162,0.44281,0.82848,0.99747,1,0.995,0.98919,0.17318,0.48507,0.84228,0.000152,0.000152,0.000152
30,205.51,0.1667,0.43778,0.8466,0.99746,1,0.995,0.995,0.1696,0.4705,0.83136,8.6e-05,8.6e-05,8.6e-05
